SampleID,Plate,CollectionDate
Sample_WPJEGG,INF_P2,8/6/15
Sample_UCJNYK,INF_P2,10/14/15
Sample_BLBPZV,INF_P2,2/11/16
Sample_VGOMGP,HMP_P1,6/1/16
Sample_PGFDXJ,HMP_P1,9/7/16
Sample_LKNULP,INF_P2,10/2/14
Sample_VFJHJV,INF_P2,10/3/14
Sample_EVVJTJ,INF_P2,10/7/14
Sample_MEXICC,INF_P2,10/10/14
Sample_SRYVIR,INF_P2,10/15/14
Sample_CJVCID,INF_P2,10/17/14
Sample_YUDTTK,INF_P2,11/6/13
Sample_ESSLZK,INF_P2,2/3/14
Sample_MLTZLE,INF_P2,8/7/14
Sample_MXKMTX,INF_P2,11/11/14
Sample_FKESQM,INF_P2,2/20/15
Sample_ZMCYWK,INF_P2,5/19/15
Sample_XLPISR,INF_P2,9/24/15
Sample_GNYXZB,INF_P2,1/5/16
Sample_GYPQAD,INF_P2,4/3/14
Sample_VWWTSZ,INF_P2,4/5/14
Sample_SIBLHT,INF_P2,4/9/14
Sample_UMERTB,INF_P2,4/23/14
Sample_YIBZPQ,INF_P2,10/28/13
Sample_AWQNYO,INF_P2,12/20/13
Sample_WKBJVU,INF_P2,3/24/14
Sample_IQNFQP,INF_P2,6/18/14
Sample_DBLATW,INF_P2,5/28/15
Sample_LIPFFH,INF_P2,9/23/15
Sample_HYORMD,HMP_P2,12/1/16
Sample_XXXEQR,INF_P2,2/11/15
Sample_UBSRCA,INF_P2,2/25/15
Sample_HYRJKS,INF_P2,3/11/15
Sample_TNNZXX,INF_P2,12/7/15
Sample_ZEQDUS,INF_P2,12/10/15
Sample_YBUJKS,INF_P2,1/12/16
Sample_KYMAGV,HMP_P2,4/19/16
Sample_NPGBGA,HMP_P2,4/25/16
Sample_CZRMGN,INF_P2,10/31/14
Sample_BGOXYD,INF_P2,11/3/14
Sample_SDBPJA,INF_P2,11/21/14
Sample_CUWMMW,HMP_P2,9/17/14
Sample_LCTKDL,HMP_P2,10/1/14
Sample_NLVABI,HMP_P2,10/28/13
Sample_SHDMAR,HMP_P2,1/9/15
Sample_MVVXAR,HMP_P2,5/1/15
Sample_PUPNYR,HMP_P2,9/25/15
Sample_CSAHNX,HMP_P2,12/6/13
Sample_EVYGIE,HMP_P2,1/29/14
Sample_RCLNGE,HMP_P2,5/28/14
Sample_WPQRXX,HMP_P2,3/25/15
Sample_AOCHTQ,HMP_P2,5/25/16
Sample_IAQHBH,HMP_P2,10/18/16
Sample_RJYDHM,HMP_P2,8/6/15
Sample_HOUMDX,HMP_P2,11/13/13
Sample_FESODE,HMP_P2,7/23/14
Sample_XDYAKZ,HMP_P2,11/6/14
Sample_RBVNXQ,HMP_P2,2/26/15
Sample_NAQXZY,HMP_P2,7/1/15
Sample_LDCQOD,HMP_P2,10/9/15
Sample_NOTSHK,HMP_P2,1/21/16
Sample_PNZQKK,HMP_P2,5/24/16
Sample_OSQBMZ,HMP_P2,8/17/16
Sample_BAXFHD,geomean,12/13/13
Sample_NQJWUH,INF_P3,5/7/14
Sample_ETLSFO,INF_P3,2/17/15
Sample_PVTIZC,INF_P3,6/19/15
Sample_BXENBR,INF_P3,10/22/15
Sample_GBFEBU,INF_P3,1/6/14
Sample_JBUEIE,INF_P3,1/22/14
Sample_DCBBMK,INF_P3,2/5/14
Sample_NGNWYL,INF_P3,7/22/14
Sample_XWBWGQ,INF_P3,7/25/14
Sample_NZHZJV,INF_P3,8/26/14
Sample_FWPZOL,geomean,2/26/15
Sample_WOXXUI,INF_P3,3/2/15
Sample_UCQGYU,INF_P3,3/16/15
Sample_MQGKYM,INF_P3,3/26/15
Sample_EFDLYZ,INF_P3,1/22/16
Sample_HSIANW,HMP_P2,4/26/16
Sample_KQJPXM,HMP_P2,7/18/16
Sample_RYWOGT,HMP_P2,11/18/16
Sample_WFGGXP,INF_P3,11/7/14
Sample_OFFSSV,INF_P3,11/11/14
Sample_EYLQRD,INF_P3,11/13/14
Sample_BVLMEW,INF_P3,11/17/14
Sample_BCJTCZ,INF_P3,12/1/14
Sample_DIHTWW,geomean,12/6/13
Sample_OBREPE,INF_P3,1/22/14
Sample_CJALYJ,INF_P3,6/24/14
Sample_PKUHKO,INF_P3,5/13/15
Sample_VQOLID,INF_P3,11/21/15
Sample_BQZNPR,HMP_P2,7/6/16
Sample_WWEPCC,HMP_P2,12/14/16
Sample_UNMNPM,INF_P3,2/13/14
Sample_XZASQD,geomean,2/15/14
Sample_OQEOJD,geomean,2/26/14
Sample_QWURJY,INF_P3,6/6/14
Sample_MNYBJN,INF_P3,2/20/15
Sample_XTTLHV,INF_P3,8/14/15
Sample_AEKIFL,INF_P3,10/26/15
Sample_PQYCEF,HMP_P2,7/18/16
Sample_GDCAET,HMP_P2,10/7/14
Sample_YNHTEX,HMP_P2,10/9/14
Sample_TTSYIR,HMP_P2,10/14/14
Sample_AMNVOR,HMP_P2,10/23/14
Sample_XCVMEG,HMP_P2,4/6/15
Sample_EDXSZM,geomean,3/17/14
Sample_RDNPBI,INF_P3,6/11/14
Sample_PNKAFI,INF_P3,10/1/14
Sample_WPAKNF,INF_P3,8/31/15
Sample_LOXEOT,INF_P3,3/4/16
Sample_WHHHOU,INF_P3,2/19/15
Sample_JHKHZY,HMP_P2,6/25/14
Sample_CEQQMN,HMP_P2,6/27/14
Sample_NCRIIM,HMP_P2,7/1/14
Sample_DFGODB,HMP_P2,7/17/14
Sample_ZEZDCD,geomean,3/28/14
Sample_NCDPON,INF_P3,7/2/14
Sample_QFJTWQ,INF_P3,2/27/15
Sample_CITRKC,INF_P3,5/22/15
Sample_BYVMWW,INF_P3,9/11/15
Sample_YDHUUO,INF_P3,12/16/15
Sample_NFFQEX,INF_P3,2/12/16
Sample_OXSRJR,HMP_P2,5/11/16
Sample_PBPCLK,INF_P3,9/29/14
Sample_TIZJKK,INF_P3,10/3/14
Sample_MUEMLA,INF_P3,10/15/14
Sample_CIVLPM,HMP_P2,8/31/16
Sample_DGQMZK,INF_P3,10/29/14
Sample_BHQNWL,INF_P3,10/31/14
Sample_XNLEPC,INF_P3,9/28/15
Sample_QRFNSD,INF_P3,9/29/15
Sample_GZIPOR,INF_P3,10/2/15
Sample_BHMFXR,INF_P3,10/6/15
Sample_WWOFBT,INF_P3,10/20/15
Sample_PGXWEF,HMP_P2,3/4/16
Sample_ZCRGJI,HMP_P2,3/23/16
Sample_RCHRRC,HMP_P2,4/4/16
Sample_NQISTK,HMP_P2,4/6/16
Sample_CYNVJD,HMP_P2,4/11/16
Sample_NHGHBX,HMP_P2,4/25/16
Sample_EMTDDM,INF_P4,6/6/14
Sample_XCFCWC,INF_P4,9/17/14
Sample_BIUDKT,INF_P4,12/10/14
Sample_UTXAKV,INF_P4,3/4/15
Sample_IWPZMY,INF_P4,6/10/15
Sample_GPMMBW,INF_P4,9/2/15
Sample_UYEOSZ,INF_P4,11/25/15
Sample_PADMSG,HMP_P3,5/11/16
Sample_ZJXMAC,HMP_P3,8/3/16
Sample_NGTVMG,HMP_P3,10/12/16
Sample_TNQUJG,HMP_P3,9/30/14
Sample_GDIUSP,HMP_P3,10/1/14
Sample_KPEHBR,HMP_P3,10/8/14
Sample_SKBRWH,HMP_P3,10/22/14
Sample_TDNEUA,HMP_P3,5/30/14
Sample_ZMEEKC,HMP_P3,4/17/14
Sample_ALCWYP,HMP_P3,9/23/14
Sample_GPJICO,HMP_P3,2/24/15
Sample_JRPNFH,HMP_P3,6/30/15
Sample_LKMSNI,HMP_P3,9/22/15
Sample_DDHNHH,HMP_P3,1/12/16
Sample_CRYKPT,geomean,6/25/14
Sample_AKMZYN,INF_P4,4/15/15
Sample_GWTOJF,INF_P4,6/26/15
Sample_BWIIAV,INF_P4,9/4/14
Sample_DFHBRH,INF_P4,9/9/14
Sample_HAMASB,INF_P4,9/24/14
Sample_KXULNF,INF_P4,5/14/15
Sample_URGNBS,INF_P4,5/18/15
Sample_ULAFNP,INF_P4,6/8/15
Sample_GNCXHE,INF_P4,6/12/15
Sample_KUIYWO,INF_P4,11/5/14
Sample_FUPOAG,geomean,11/6/14
Sample_RUZPVL,INF_P4,11/7/14
Sample_MARIHE,INF_P4,11/13/14
Sample_WOMEUS,INF_P4,11/26/14
Sample_YJQTZB,INF_P4,9/29/15
Sample_BPZLMR,INF_P4,9/30/15
Sample_OSWGOC,INF_P4,10/2/15
Sample_AZGTWC,INF_P4,10/27/15
Sample_MZNDEQ,HMP_P3,7/17/14
Sample_HMDZDF,HMP_P3,7/18/14
Sample_MNKYLZ,HMP_P3,7/21/14
Sample_IMDBGH,HMP_P3,7/24/14
Sample_VDPVPK,HMP_P3,8/7/14
Sample_RTGWFB,HMP_P3,2/16/16
Sample_PWISOR,HMP_P3,11/8/16
Sample_WPRTSM,HMP_P3,3/29/16
Sample_KQUETK,HMP_P3,4/13/16
Sample_XZJTSC,INF_P4,6/6/14
Sample_YIKJWO,INF_P4,10/14/14
Sample_AVCKHJ,INF_P4,5/28/15
Sample_CZZIRR,HMP_P3,8/31/16
Sample_AIZVIC,INF_P4,11/9/15
Sample_PLKJDD,INF_P4,11/12/15
Sample_NSRCKF,HMP_P3,8/18/14
Sample_OPEORL,HMP_P3,4/3/15
Sample_PRAKKK,HMP_P3,7/8/15
Sample_GHHSYS,HMP_P3,10/7/15
Sample_DJEJIF,HMP_P3,1/6/16
Sample_AVIGFF,HMP_P3,4/7/16
Sample_HCWFCT,HMP_P3,10/27/16
Sample_XVZWBT,INF_P4,7/25/14
Sample_MYBJNC,INF_P4,9/15/14
Sample_PAHSXW,INF_P4,10/6/14
Sample_UZDLKN,INF_P4,4/3/15
Sample_TDBWEG,INF_P4,7/8/15
Sample_HRMGTU,INF_P4,10/7/15
Sample_MRBQNU,INF_P4,1/6/16
Sample_MJVWVN,HMP_P3,4/7/16
Sample_QVISQA,HMP_P3,7/6/16
Sample_KDBSCB,HMP_P3,10/27/16
Sample_JOFVCF,HMP_P3,9/3/14
Sample_KJCHFT,HMP_P3,6/9/15
Sample_PTGHKB,HMP_P3,8/18/15
Sample_FUPDER,HMP_P3,11/17/15
Sample_OIVBTU,HMP_P3,5/24/16
Sample_ZYQOBC,HMP_P3,12/8/16
Sample_OFHCQU,geomean,11/17/14
Sample_IUYQKK,geomean,7/15/15
Sample_BQBQLA,HMP_P3,4/12/16
Sample_JKXLXK,HMP_P3,7/12/16
Sample_YMEOHX,INF_P4,9/10/14
Sample_PGEZZH,INF_P4,9/15/14
Sample_KVSPHW,INF_P4,9/29/14
Sample_VVXXQI,INF_P4,10/13/14
Sample_PGEMUK,INF_P4,10/3/14
Sample_MMOIMW,HMP_P3,11/6/14
Sample_DDCLTY,HMP_P3,1/16/15
Sample_VTMOXH,HMP_P3,3/16/15
Sample_QAYVHB,HMP_P3,9/15/15
Sample_XFRLDT,HMP_P4,11/18/14
Sample_VLXRRE,HMP_P4,3/3/15
Sample_IBNUPT,HMP_P4,7/14/15
Sample_EXFXYS,HMP_P4,10/14/15
Sample_GMDPZA,HMP_P4,1/27/16
Sample_GONFTZ,HMP_P4,4/27/16
Sample_KQRCII,HMP_P4,8/23/16
Sample_XDLHRW,HMP_P4,12/5/16
Sample_IECKEF,geomean,11/25/14
Sample_YLQZQO,INF_P4,2/10/15
Sample_PQXSYH,INF_P4,4/10/15
Sample_HKKHSG,HMP_P4,11/3/16
Sample_RDYORY,INF_P4,2/12/15
Sample_DPHBTR,INF_P4,3/5/15
Sample_NSXJLT,INF_P4,3/19/15
Sample_EPCAJW,INF_P4,5/20/15
Sample_FLQQGL,INF_P4,5/22/15
Sample_UPMPTV,INF_P4,5/27/15
Sample_GXFNBY,INF_P4,6/10/15
Sample_WQDPTH,INF_P4,6/24/15
Sample_PGDFMR,HMP_P4,7/27/15
Sample_CLKYIE,HMP_P4,1/25/16
Sample_AWTJKM,HMP_P4,4/25/16
Sample_LNXMNS,HMP_P4,7/1/15
Sample_BSUGGW,HMP_P4,11/21/14
Sample_IGQTXO,HMP_P4,2/20/15
Sample_YMBJFH,HMP_P4,5/8/15
Sample_SPWKQL,HMP_P4,8/27/15
Sample_OWKQVW,HMP_P4,11/20/15
Sample_NRPRRP,HMP_P4,12/9/14
Sample_WKRLDZ,HMP_P4,3/3/15
Sample_QLBNPM,HMP_P4,5/12/15
Sample_AYTYUQ,HMP_P4,8/19/15
Sample_XCEQJB,HMP_P4,11/19/15
Sample_GZKQWY,HMP_P4,1/26/16
Sample_ESZHYC,HMP_P4,6/9/16
Sample_WRBICQ,HMP_P4,8/23/16
Sample_PMIFPH,HMP_P4,12/1/16
Sample_ATBWYL,HMP_P4,2/25/15
Sample_XBTYNC,HMP_P4,7/7/15
Sample_SMLOLY,HMP_P4,10/29/15
Sample_JQJKYQ,HMP_P4,3/18/15
Sample_QVIZTY,HMP_P4,6/10/15
Sample_DAHVJN,HMP_P4,10/21/15
Sample_VGUEGM,HMP_P4,1/13/16
Sample_GKJHPV,HMP_P4,4/8/16
Sample_XULWYH,HMP_P4,8/2/16
Sample_AEODMA,HMP_P4,11/30/16
Sample_MSUNNN,HMP_P4,6/10/15
Sample_FJJDZR,HMP_P4,10/21/15
Sample_BLFMGL,HMP_P4,1/13/16
Sample_BSQQSQ,HMP_P4,4/8/16
Sample_RWPZHW,HMP_P4,8/2/16
Sample_GTZUKF,HMP_P4,11/30/16
Sample_TIRODX,INF_P4,7/6/15
Sample_KLTUHJ,INF_P4,11/2/15
Sample_ZXGXUA,INF_P4,2/2/16
Sample_WIJLAK,HMP_P4,5/31/16
Sample_XEPTZQ,HMP_P4,8/24/16
Sample_ASPPLG,INF_P4,3/2/15
Sample_TMNGSL,INF_P4,3/6/15
Sample_UKMFKT,INF_P4,3/20/15
Sample_YXEUZJ,INF_P4,4/3/15
Sample_NDQRBQ,HMP_P4,3/25/15
Sample_GOFDYI,HMP_P4,4/29/15
Sample_PCDSNX,geomean,4/15/15
Sample_XCDVRO,geomean,1/21/16
Sample_PFDHDJ,HMP_P4,4/29/16
Sample_EETJMI,INF_P5,10/14/15
Sample_NDCYFG,INF_P5,5/6/15
Sample_KKUDFL,INF_P5,5/13/15
Sample_UGWLSV,HMP_P5,4/8/15
Sample_NKLVKK,HMP_P5,9/17/15
Sample_XQWJPN,HMP_P5,12/16/15
Sample_WISQJW,HMP_P5,5/12/16
Sample_SUZZXF,HMP_P5,9/13/16
Sample_KCKKTP,HMP_P5,4/29/15
Sample_KYHFZM,HMP_P5,10/14/16
Sample_MBTILI,HMP_P5,5/29/15
Sample_SWDUZA,HMP_P5,8/25/15
Sample_XIXUXC,HMP_P5,11/17/15
Sample_XWEGCM,HMP_P5,2/16/16
Sample_IVRQJU,HMP_P5,5/4/16
Sample_BXPILA,HMP_P5,8/2/16
Sample_CLOYEO,HMP_P5,6/27/16
Sample_HTVINV,HMP_P5,6/29/16
Sample_JGRUDG,HMP_P5,7/5/16
Sample_WZBLSP,HMP_P5,7/19/16
Sample_WCFPMA,HMP_P5,8/31/16
Sample_VMABPN,HMP_P5,9/14/16
Sample_DPNMKD,HMP_P5,9/28/16
Sample_KCLXQI,HMP_P5,11/10/16
Sample_PMHRQU,HMP_P5,11/15/16
Sample_OHMANB,HMP_P5,11/17/16
Sample_DUVVRX,HMP_P5,12/1/16
Sample_JAOBGJ,HMP_P5,12/15/16
Sample_YQDQMZ,HMP_P5,5/21/15
Sample_WERTNG,HMP_P5,8/4/15
Sample_WMCURR,HMP_P5,11/4/15
Sample_JGRGUB,HMP_P5,2/16/16
Sample_UUCKOY,HMP_P5,5/23/16
Sample_JEVYPV,HMP_P5,9/9/16
Sample_RDUOQS,HMP_P5,11/24/15
Sample_IHEVCE,HMP_P5,11/30/15
Sample_PVMJBH,HMP_P5,5/22/15
Sample_VRCKHL,HMP_P5,8/13/15
Sample_ZQFUPQ,HMP_P5,11/5/15
Sample_QCHCTB,HMP_P5,2/19/16
Sample_DZQYZM,HMP_P5,10/21/16
Sample_SUJPWO,HMP_P5,11/5/15
Sample_CFSBCX,HMP_P5,2/4/16
Sample_LJGKQV,HMP_P5,5/6/16
Sample_AAUUYN,HMP_P5,9/1/16
Sample_XXIFVJ,HMP_P5,12/7/16
Sample_IFHNJF,HMP_P5,6/18/15
Sample_LWWURH,HMP_P5,9/9/15
Sample_PKJQYD,HMP_P5,10/5/15
Sample_MAXXEO,HMP_P5,2/1/16
Sample_VSCBFJ,HMP_P5,8/29/16
Sample_DAZEZY,geomean,8/6/15
Sample_VGYTZE,INF_P5,8/24/15
Sample_ZDXGGY,INF_P5,2/12/16
Sample_XJNJFA,INF_P5,2/19/16
Sample_WHGZVU,INF_P5,9/10/15
Sample_OLTKJL,HMP_P5,11/4/15
Sample_ZFLKNG,HMP_P5,11/9/15
Sample_VPTILU,HMP_P5,8/7/15
Sample_ABGBQG,HMP_P5,11/19/15
Sample_EHVCXD,HMP_P5,5/17/16
Sample_TOHZFO,HMP_P5,12/8/16
Sample_LRWBTH,HMP_P6,10/2/15
Sample_AFTIWE,HMP_P6,1/28/16
Sample_HPHINP,HMP_P6,5/2/16
Sample_LVTGSS,HMP_P6,10/7/15
Sample_YXPHCI,HMP_P6,5/27/16
Sample_IGFJIW,HMP_P6,9/3/15
Sample_ODNLVM,HMP_P6,1/27/16
Sample_CFVYAT,HMP_P6,10/19/15
Sample_VSLKCL,HMP_P6,3/14/16
Sample_DIFSRZ,HMP_P6,8/1/16
Sample_DCNNQE,HMP_P6,10/29/15
Sample_YMGCIN,HMP_P6,2/2/16
Sample_GJNCKM,HMP_P6,5/6/16
Sample_OFIYZI,HMP_P6,1/28/16
Sample_KZRRAY,HMP_P6,7/18/16
Sample_PPMSGM,HMP_P6,11/18/16
Sample_IAWGGV,HMP_P6,4/5/16
Sample_ZOLYFF,HMP_P6,4/8/16
Sample_VEOLQT,HMP_P6,4/22/16
Sample_NGTRGM,HMP_P6,1/28/16
Sample_FGDAMP,HMP_P6,3/14/16
Sample_DARTBY,HMP_P6,3/16/16
Sample_EDOEEX,HMP_P6,3/21/16
Sample_KREFBN,HMP_P6,4/7/16
Sample_EMDXXS,HMP_P6,4/18/16
Sample_BZUXTA,HMP_P6,8/26/16
Sample_IGOIBD,HMP_P6,1/29/16
Sample_VVLDAJ,geomean,7/22/13
Sample_AULWKZ,INF_P6,10/21/13
Sample_UPTHOZ,INF_P6,1/29/14
Sample_APQTMO,INF_P6,4/18/14
Sample_ROQFIV,INF_P6,7/22/14
Sample_FIMGHL,INF_P6,2/12/15
Sample_IBMJMQ,INF_P6,5/7/15
Sample_CQXWYX,INF_P6,9/29/15
Sample_CXHJVU,INF_P6,1/29/16
Sample_JRWRUC,HMP_P6,5/9/16
Sample_TSFTLS,INF_P6,10/20/14
Sample_OBCKLB,INF_P6,10/22/14
Sample_VKEHZP,INF_P6,10/24/14
Sample_ACFGIE,INF_P6,11/3/14
Sample_GKAYWI,INF_P6,11/14/14
Sample_XIWESF,INF_P6,10/19/15
Sample_XBVVNQ,INF_P6,10/20/15
Sample_SQQAYH,INF_P6,10/23/15
Sample_NMELUJ,INF_P6,10/27/15
Sample_XICOMY,INF_P6,11/6/15
Sample_CZZWUE,HMP_P6,10/26/16
Sample_EZGWMC,HMP_P6,10/27/16
Sample_UXTJIR,HMP_P6,10/31/16
Sample_MEIKNC,HMP_P6,11/4/16
Sample_LPRQLN,geomean,7/22/13
Sample_BLOMUN,INF_P6,10/30/13
Sample_TTQCTS,INF_P6,3/3/14
Sample_MASJBU,INF_P6,6/11/14
Sample_XIFIAR,INF_P6,12/16/14
Sample_TROTLZ,INF_P6,4/8/15
Sample_DQIATB,INF_P6,7/21/15
Sample_RIEZDX,INF_P6,10/20/15
Sample_WWDONP,HMP_P6,7/14/16
Sample_DBDVLO,HMP_P6,10/10/16
Sample_KSUAYF,INF_P6,11/9/15
Sample_ETMPVD,INF_P6,11/11/15
Sample_RSGWDW,INF_P6,11/16/15
Sample_QEMMSD,INF_P6,12/1/15
Sample_ZVVCYO,HMP_P6,1/22/14
Sample_JAZSSL,HMP_P6,4/2/14
Sample_OVDQQH,HMP_P6,7/16/14
Sample_KWFSXL,HMP_P6,1/21/15
Sample_YASWLO,HMP_P6,8/6/15
Sample_ZPLPJY,HMP_P6,11/20/15
Sample_ABJMGL,HMP_P6,2/11/16
Sample_XAWTPN,HMP_P6,8/5/16
Sample_LYYRCU,geomean,9/18/13
Sample_NDAVES,INF_P6,2/12/14
Sample_NWITMU,INF_P6,5/14/14
Sample_GNPAJU,INF_P6,8/19/14
Sample_SUFEJQ,INF_P6,11/1/13
Sample_UDOMXK,INF_P6,11/4/13
Sample_RJRVJD,INF_P6,11/6/13
Sample_FECBIZ,INF_P6,11/13/13
Sample_WJBMKV,INF_P6,11/18/15
Sample_RGPYUL,INF_P6,2/8/16
Sample_JFZSMX,HMP_P6,8/22/16
Sample_STRQUW,INF_P6,8/28/13
Sample_UZJYTV,INF_P6,12/4/13
Sample_UTYOAI,INF_P6,3/10/14
Sample_VBHBGE,INF_P6,6/4/14
Sample_TIKGKI,INF_P6,9/10/14
Sample_PLVIMM,INF_P6,1/9/15
Sample_LXHFPW,INF_P6,1/5/16
Sample_FGRYRU,INF_P6,1/19/16
Sample_KCFUSK,INF_P6,4/30/15
Sample_DOCPGD,INF_P6,9/15/15
